Year,Province,District,Dominant_Industry,Key_Anchor_Sectors,Anchor_firm_presence,Dominant_Value_Chain,Estimated_Number_of_SMEs,Estimated_Number_of_Employees,Production_Volume,Processing_Capacity,"Infrastructure (Roads, Electricity, Internet)",Logistics/Transport_Connectivity,Banking_Penetration (%),Access_to_Credit / Lending,Working_Capital_Gap_Score,Estimated_Production_Volume,Export_Oriented,Supply_Chain_Financing_Opportunity_Score,Opportunity_Level,Recommended_Banking_Product
2016,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,Hospitality & Tourism,Yes,Cotton,7859,70731,Medium,High,High,High,55.0,Medium,58.33,424386,No,56.63,Low,Receivables Discounting / Factoring
2017,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,Hospitality & Tourism,Yes,Cotton,7941,71469,Medium,High,High,High,55.0,Medium,58.33,428814,No,56.63,Low,Receivables Discounting / Factoring
2018,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,Hospitality & Tourism,Yes,Cotton,8024,80240,Medium,High,High,High,55.0,Medium,58.33,481440,No,56.63,Low,Receivables Discounting / Factoring
2019,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,Hospitality & Tourism,Yes,Cotton,8108,81080,Medium,High,High,High,55.0,Medium,58.33,486480,No,56.63,Low,Receivables Discounting / Factoring
2020,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,Hospitality & Tourism,Yes,Cotton,8193,68575,Medium,High,High,High,55.0,Medium,58.33,442422,No,56.63,Low,Receivables Discounting / Factoring
2021,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,Hospitality & Tourism,Yes,Cotton,8279,81134,Medium,High,High,High,55.0,Medium,58.33,496740,No,56.63,Low,Receivables Discounting / Factoring
2022,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,Hospitality & Tourism,Yes,Cotton,8366,83660,Medium,High,High,High,55.0,Medium,58.33,501960,No,56.63,Low,Receivables Discounting / Factoring
2023,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,Hospitality & Tourism,Yes,Cotton,8453,94843,Medium,High,High,High,55.0,Medium,58.33,1115796,No,58.05,Low,Receivables Discounting / Factoring
2024,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,Hospitality & Tourism,Yes,Cotton,8542,97720,Medium,High,High,High,55.0,Medium,58.33,1127544,No,58.05,Low,Receivables Discounting / Factoring
2025,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,Hospitality & Tourism,Yes,Cotton,8631,109786,Medium,High,High,High,55.0,Medium,58.33,1242864,No,58.05,Low,Receivables Discounting / Factoring
2016,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,21292,149044,High,High,Medium,Medium,50.0,Medium,91.67,8048376,Yes,62.83,Medium,PO Finance + Inventory Finance
2017,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,21851,152957,High,High,Medium,Medium,50.0,Medium,91.67,8259678,Yes,62.83,Medium,PO Finance + Inventory Finance
2018,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,22424,156968,High,High,Medium,Medium,50.0,Medium,91.67,8476272,Yes,62.83,Medium,PO Finance + Inventory Finance
2019,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,23013,184104,High,High,Medium,Medium,50.0,Medium,91.67,9941616,Yes,62.83,Medium,PO Finance + Inventory Finance
2020,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,23617,175710,High,High,Medium,Medium,50.0,Medium,91.67,10202544,Yes,62.83,Medium,PO Finance + Inventory Finance
2021,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,24237,190018,High,High,Medium,Medium,50.0,Medium,91.67,10470384,Yes,62.83,Medium,PO Finance + Inventory Finance
2022,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,24873,198984,High,High,Medium,Medium,50.0,Medium,91.67,16117704,Yes,64.25,Medium,PO Finance + Inventory Finance
2023,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,25526,234329,High,High,Medium,Medium,50.0,Medium,91.67,18608454,Yes,64.25,Medium,PO Finance + Inventory Finance
2024,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,26195,245185,High,High,Medium,Medium,50.0,Medium,91.67,19096155,Yes,64.25,Medium,PO Finance + Inventory Finance
2025,Punjab,Bahawalpur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,26883,284960,High,High,Medium,Medium,50.0,Medium,91.67,21775230,Yes,64.25,Medium,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Bannu,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Livestock & Dairy ,6785,47495,Medium,High,Low,Medium,25.0,Low,75.0,284970,Yes,55.67,Low,PO Finance + Inventory Finance
