Year,Province,District,Dominant_Industry,Key_Anchor_Sectors,Anchor_firm_presence,Dominant_Value_Chain,Estimated_Number_of_SMEs,Estimated_Number_of_Employees,Production_Volume,Processing_Capacity,"Infrastructure (Roads, Electricity, Internet)",Logistics/Transport_Connectivity,Banking_Penetration (%),Access_to_Credit / Lending,Working_Capital_Gap_Score,Export_Oriented,Supply_Chain_Financing_Opportunity_Score,Opportunity_Level,Recommended_Banking_Product
2016,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Cotton,7859,70731,High,High,High,High,55.0,Medium,2.0,No,63.55,Medium,Inventory Finance
2017,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Cotton,7941,71469,High,High,High,High,55.0,Medium,2.0,No,63.55,Medium,Inventory Finance
2018,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Cotton,8024,80240,High,High,High,High,55.0,Medium,2.0,No,63.55,Medium,Inventory Finance
2019,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Cotton,8108,81080,High,High,High,High,55.0,Medium,2.0,No,63.55,Medium,Inventory Finance
2020,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Cotton,8193,68575,High,High,High,High,55.0,Medium,2.0,No,63.55,Medium,Inventory Finance
2021,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Cotton,8279,81134,High,High,High,High,55.0,Medium,2.0,No,63.55,Medium,Inventory Finance
2022,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Cotton,8366,83660,High,High,High,High,55.0,Medium,2.0,No,63.55,Medium,Inventory Finance
2023,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Cotton,8453,94843,High,High,High,High,55.0,Medium,2.0,No,65.53,Medium,Inventory Finance
2024,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Cotton,8542,97720,High,High,High,High,55.0,Medium,2.0,No,65.53,Medium,Inventory Finance
2025,Khyber Pakhtunkhwa,Abbottabad,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Cotton,8631,109786,High,High,High,High,55.0,Medium,2.0,No,65.53,Medium,Inventory Finance
