District,Province,Major Export Products,Key_Export_Destinations,Major_Import_Products,Key_Import_Sources
Islamabad,Punjab,IT & Digital Business Services,"UAE, Afghanistan, China, UK",Industrial Machinery & Materials,"China, UAE, Saudi Arabia, USA"
Lahore,Punjab,Textiles & Industrial Goods,"USA, UK, Germany, Netherlands, Italy",Industrial Machinery & Materials,"China, UAE, USA, South Korea"
Faisalabad,Punjab,Textiles & Industrial Goods,"USA, UK, UAE, Canada",Industrial Machinery & Materials,"USA, China, UAE, Brazil"
Rawalpindi,Punjab,IT & Digital Business Services,"UAE, China, Afghanistan, Saudi Arabia",Industrial Machinery & Materials,"China, UAE, Saudi Arabia, USA"
Multan,Punjab,Agri-Commodity & Food Products,"USA, UAE, UK, Germany",Industrial Machinery & Materials,"China, UAE, Saudi Arabia, USA"
Gujranwala,Punjab,Engineering & Industrial Products,"USA, Germany, UK, France, Netherlands",Industrial Machinery & Materials,"China, UAE, USA, Germany"
Sialkot,Punjab,"Sports, Surgical & Leather Products","UAE, China, Saudi Arabia, Afghanistan",Industrial Machinery & Materials,"China, UAE, South Korea, Japan"
Sargodha,Punjab,Agri-Commodity & Food Products,"UAE, China, Afghanistan, Saudi Arabia",Agricultural Inputs & Machinery,"China, Saudi Arabia, UAE, USA"
Bahawalpur,Punjab,Agri-Commodity & Food Products,"UAE, Saudi Arabia, China, Afghanistan",Agricultural Inputs & Machinery,"China, UAE, Saudi Arabia, Malaysia"
Sahiwal,Punjab,Agri-Commodity & Food Products,"UAE, Saudi Arabia, China, Afghanistan",Agricultural Inputs & Machinery,"China, Malaysia, UAE, Indonesia"
Sheikhupura,Punjab,Agri-Commodity & Food Products,"UAE, China, USA, UK",Industrial Machinery & Materials,"China, UAE, USA, Germany"
Karachi Central,Sindh,IT & Digital Business Services,"USA, UK, UAE, Canada","IT, Telecom & Electronics Equipment","China, UAE, USA, Singapore"
Karachi East,Sindh,IT & Digital Business Services,"USA, UK, UAE, Canada","IT, Telecom & Electronics Equipment","China, UAE, USA, South Korea"
Karachi South,Sindh,IT & Digital Business Services,"UAE, China, USA, UK",Energy & Industrial Equipment,"China, UAE, Saudi Arabia, USA"
